Issue ID,Issue Type,Parent,Summary,Description,Epic Name,Story Points,Priority,Assignee,Sprint,Labels,Status
1,Epic,,"Infraestructura, despliegue e integración continua","Configuración del repositorio, entornos de desarrollo, despliegue en la nube y canalización de integración y entrega continua.",Infraestructura,,High,,,,To Do
2,Story,1,Configurar repositorio y flujo de trabajo Git,"Como equipo, necesitamos un repositorio con estrategia de ramas definida para trabajar en paralelo sin conflictos.

Criterios de aceptación:
- Monorepo con carpetas por contenedor
- Ramas main y develop protegidas, con revisión obligatoria
- Convenciones de rama y commit documentadas en el README",,3,Highest,Joseph Flores,SQ Sprint 1,infraestructura,Done
3,Sub-task,2,Crear monorepo y estructura de carpetas,,,,Medium,Joseph Flores,SQ Sprint 1,infraestructura,Done
4,Sub-task,2,Configurar reglas de protección de ramas,,,,Medium,Joseph Flores,SQ Sprint 1,infraestructura,Done
5,Sub-task,2,Documentar convenciones de trabajo,,,,Medium,Joseph Flores,SQ Sprint 1,documentacion,Done
6,Story,1,Configurar backend FastAPI con conexión a base de datos,"Como desarrollador, necesito el esqueleto del backend con configuración validada y conexión a PostgreSQL.

Criterios de aceptación:
- La aplicación falla al arrancar si falta configuración obligatoria
- Endpoints /health y /health/db responden correctamente
- Documentación interactiva disponible en /docs",,5,Highest,Joseph Flores,SQ Sprint 1,"backend,infraestructura",Done
7,Sub-task,6,Crear estructura del backend y configuración centralizada,,,,Medium,Joseph Flores,SQ Sprint 1,backend,Done
8,Sub-task,6,Configurar SQLAlchemy y sesiones de base de datos,,,,Medium,Joseph Flores,SQ Sprint 1,backend,Done
9,Sub-task,6,Configurar Alembic para migraciones,,,,Medium,Joseph Flores,SQ Sprint 1,backend,Done
10,Sub-task,6,Crear base de datos en Neon,,,,Medium,Joseph Flores,SQ Sprint 1,infraestructura,Done
11,Story,1,Configurar frontend React con Tailwind y enrutamiento,"Como desarrollador, necesito el esqueleto del frontend con navegación y consumo autenticado de la API.

Criterios de aceptación:
- Cliente HTTP adjunta el token automáticamente
- Rutas protegidas redirigen al login sin sesión
- Shell con barra lateral filtrada por rol",,8,Highest,Joseph Flores,SQ Sprint 1,"frontend,infraestructura",Done
12,Sub-task,11,Inicializar proyecto Vite con TypeScript,,,,Medium,Joseph Flores,SQ Sprint 1,frontend,Done
13,Sub-task,11,Configurar cliente HTTP con interceptores de JWT,,,,Medium,Joseph Flores,SQ Sprint 1,frontend,Done
14,Sub-task,11,Crear contexto de autenticación y rutas protegidas,,,,Medium,Joseph Flores,SQ Sprint 1,frontend,Done
15,Sub-task,11,Construir shell de la aplicación,,,,Medium,Joseph Flores,SQ Sprint 1,frontend,Done
16,Story,1,Desplegar backend y frontend en la nube,"Como equipo, necesitamos el sistema accesible en línea para validar el comportamiento real y poder mostrarlo.

Criterios de aceptación:
- Backend en Railway con migraciones automáticas al desplegar
- Frontend en Vercel con enrutamiento de SPA resuelto
- Bases de datos separadas para desarrollo y producción
- CORS configurado entre ambos dominios",,5,Highest,Joseph Flores,SQ Sprint 1,"infraestructura,despliegue",Done
17,Sub-task,16,Desplegar backend en Railway,,,,Medium,Joseph Flores,SQ Sprint 1,despliegue,Done
18,Sub-task,16,Crear base de datos de producción,,,,Medium,Joseph Flores,SQ Sprint 1,despliegue,Done
19,Sub-task,16,Desplegar frontend en Vercel,,,,Medium,Joseph Flores,SQ Sprint 1,despliegue,Done
20,Sub-task,16,Configurar CORS entre dominios,,,,Medium,Joseph Flores,SQ Sprint 1,despliegue,Done
21,Story,1,Desplegar microservicio de cálculo,"Como sistema, el microservicio de cálculo debe estar disponible para que el backend resuelva las cotizaciones.

Criterios de aceptación:
- Servicio desplegado en Railway
- Comunicación por red interna con el backend
- Sin dominio público expuesto",,3,Medium,Esteban Narvaez,SQ Sprint 2,"infraestructura,despliegue",To Do
22,Sub-task,21,Configurar servicio en Railway,,,,Medium,Esteban Narvaez,,despliegue,To Do
23,Sub-task,21,Conectar backend con calc-service,,,,Medium,Esteban Narvaez,,despliegue,To Do
24,Story,1,Configurar integración continua con pruebas automatizadas,"Como equipo, necesitamos que las pruebas se ejecuten en cada pull request para detectar regresiones antes del merge.

Criterios de aceptación:
- Workflow de GitHub Actions ejecuta pytest en backend y calc-service
- El workflow corre en cada pull request hacia develop
- Un pull request con pruebas fallidas no se puede mergear",,5,Medium,Joseph Flores,SQ Sprint 2,"infraestructura,pruebas",To Do
25,Sub-task,24,Crear workflow de pruebas del backend,,,,Medium,Joseph Flores,,infraestructura,To Do
26,Sub-task,24,Crear workflow de compilación del frontend,,,,Medium,Joseph Flores,,infraestructura,To Do
27,Sub-task,24,Exigir pruebas en verde para mergear,,,,Medium,Joseph Flores,,infraestructura,To Do
28,Epic,,RF-11 - Seguridad y gestión de usuarios,"Autenticación, autorización por rol y administración de cuentas del sistema.",Seguridad,,High,,,,To Do
29,Story,28,Autenticar usuarios con JWT,"Como usuario del sistema, quiero iniciar sesión con mis credenciales para acceder a las funciones que me corresponden.

Criterios de aceptación:
- Las contraseñas se almacenan con hash bcrypt
- El token expira a las 8 horas
- El mensaje de error no revela si el correo existe
- Los endpoints protegidos rechazan peticiones sin token válido",,8,Highest,Joseph Flores,SQ Sprint 1,"backend,RF-11",Done
30,Sub-task,29,Implementar hashing de contraseñas y generación de tokens,,,,Medium,Joseph Flores,SQ Sprint 1,backend,Done
31,Sub-task,29,Crear dependencias de autorización por rol,,,,Medium,Joseph Flores,SQ Sprint 1,backend,Done
32,Sub-task,29,Crear endpoints de login y perfil,,,,Medium,Joseph Flores,SQ Sprint 1,backend,Done
33,Sub-task,29,Crear pantalla de inicio de sesión,,,,Medium,Joseph Flores,SQ Sprint 1,frontend,Done
34,Story,28,Administrar usuarios desde la interfaz,"Como Gerente General, quiero crear y desactivar cuentas de usuario para controlar quién accede al sistema.

Criterios de aceptación:
- Solo el Gerente General accede a esta sección
- Se pueden crear usuarios con rol asignado
- Desactivar una cuenta revoca el acceso inmediatamente
- No se permiten correos duplicados",,5,Medium,Esteban Narvaez,SQ Sprint 4,"frontend,backend,RF-11",To Do
35,Sub-task,34,Crear endpoints de listado y actualización de usuarios,,,,Medium,Esteban Narvaez,,backend,To Do
